Country,Libraries,Libraries per Capita,McDonalds,McDonalds per Capita,Population
Aruba,3,2.8619946194501154,4,3.8159928259334874,104822
Andorra,8,10.35183292141665,5,6.469895575885405,77281
United Arab Emirates,20,0.21575876099236946,114,1.229824937656506,9269612
Argentina,1545,3.523581655754967,209,0.4766527935616751,43847430
American Samoa,2,3.597186999766183,2,3.597186999766183,55599
Australia,1429,5.922786018859494,920,3.8131302570683934,24127159
Austria,1473,16.839370241849025,196,2.2406765562813367,8747358
Azerbaijan,4382,44.88708266127339,12,0.12292217981179385,9762274
Belgium,641,5.648493293053084,74,0.6520881492760192,11348159
Bulgaria,2722,38.18838349218036,42,0.5892403037000643,7127822
Bahrain,2,0.14033403710852943,20,1.4033403710852943,1425171
Bosnia and Herzegovina,108,3.0709596407659654,4,0.11373924595429502,3516816
Belarus,5000,52.59216250557476,9,0.09466589251003459,9507120
Brazil,6545,3.151894870316381,812,0.3910372245526206,207652865
Canada,3311,9.12462442910813,1450,3.995984724314947,36286425
Switzerland,2000,23.888874688280048,162,1.9349988497506838,8372098
Chile,526,2.936947095979096,77,0.429933320133822,17909754
China,51311,3.7217888319497483,2391,0.17342864292630913,1378665000
Colombia,1609,3.3070646073197856,81,0.16648367507327697,48653419
Costa Rica,57,1.173497727326068,54,1.1117346890457487,4857274
Cuba,407,3.546537455356762,1,0.008713851241662804,11475982
Cyprus,142,12.135455613716484,18,1.5382971904711034,1170125
Czech Republic,5407,51.19473475361244,95,0.8994821160704978,10561633
Germany,8195,9.913184335571996,1470,1.7782039015608093,82667685
Denmark,97,1.6925144448255993,89,1.5529256246337975,5731118
Dominican Republic,398,3.7375134886204453,31,0.2911128596664166,10648791
Ecuador,3,0.018309353369787663,27,0.16478418032808897,16385068
Spain,4164,8.965643949517741,297,0.6394803681572452,46443959
Estonia,487,36.99255819111708,10,0.7596007842118496,1316481
Finland,308,5.6049976196958164,65,1.1828728742864547,5495096
Fiji,12,1.3351729048911833,3,0.33379322622279584,898760
France,3410,5.097456415589134,1419,2.1211996051967685,66896109
United Kingdom,208,0.31689328065734146,1274,1.9409713440262166,65637239
Georgia,2251,60.52214126314092,11,0.2957545774742559,3719300
Gibraltar,1,2.9063008602650546,1,2.9063008602650546,34408
Greece,520,4.838676659154311,24,0.22332353811481434,10746740
Guatemala,70,0.42213255456711546,82,0.49449813535004955,16582469
Guam,1,0.613888616049504,6,3.683331696297024,162896
Honduras,116,1.2729254141424426,8,0.08778795959603054,9112867
Croatia,319,7.648779552102815,29,0.6953435956457105,4170600
Hungary,1465,14.921636454342135,90,0.916687563747981,9817958
Indonesia,1062,0.40671663649048795,170,0.06510529962653762,261115456
Isle of Man,8,9.553721771737703,1,1.1942152214672128,83737
India,29800,2.2504640286909576,290,0.021900488869811333,1324171354
Ireland,348,7.290866827498719,89,1.8646182403660518,4773095
Iraq,489,1.3144252499531484,1,0.0026879861962232072,37202572
Israel,870,10.17889108586538,185,2.164476840097811,8547100
Italy,7000,11.551042654865242,548,0.9042816249808789,60600590
Jordan,135,1.4276948692453586,28,0.29611449139903734,9455802
Japan,3126,2.461523711052362,2975,2.3426209342228974,126994511
Kazakhstan,4004,22.498133396624784,2,0.01123782886944295,17797032
Kuwait,26,0.6415659737096134,75,1.8506710780085003,4052584
Lebanon,70,1.16537155041697,33,0.5493894451965715,6006668
Liechtenstein,3,7.964742738809536,3,7.964742738809536,37666
Sri Lanka,1185,5.588831769089279,7,0.03301419610432486,21203000
Lithuania,65,2.2629963882577644,11,0.38296861955131395,2872298
Luxembourg,21,3.602231325003602,10,1.7153482500017154,582972
Latvia,815,41.57263938821398,12,0.6121124817896536,1960424
Morocco,600,1.7008352178115091,40,0.11338901452076727,35276786
Monaco,2,5.194940128315021,2,5.194940128315021,38499
Moldova,1381,38.8795045045045,4,0.11261261261261261,3552000
Mexico,7260,5.692312938306626,402,0.31519418749301154,127540423
Malta,56,12.816199676390958,10,2.2886070850698137,436947
Mauritius,16,1.2663507649154353,7,0.5540284596505031,1263473
Malaysia,1392,4.463360285039422,314,1.006821213722973,31187265
New Caledonia,1,0.3597122302158273,2,0.7194244604316546,278000
Nicaragua,30,0.4878105890020176,6,0.09756211780040352,6149928
Netherlands,177,1.0400502796736335,245,1.439617618757289,17018408
Norway,744,14.217658982187604,73,1.3950122388436763,5232929
New Zealand,296,6.307669358791314,162,3.4521703923114626,4692700
Oman,6,0.13560051365474574,15,0.3390012841368643,4424762
Pakistan,400,0.20703561254767489,72,0.037266410258581475,193203476
Panama,108,2.677164456477362,57,1.4129479075852747,4034119
Peru,820,2.5807394567587503,40,0.12588972959798783,31773839
Philippines,1224,1.1846664440964907,449,0.434571269117095,103320222
Poland,8290,21.8456743562035,378,0.9960995062297855,37948016
Puerto Rico,58,1.700228094393146,108,3.165941968869996,3411307
Portugal,194,1.8790054172501027,148,1.4334680502732742,10324611
Paraguay,35,0.5204222617016202,11,0.16356128224908065,6725308
Qatar,7,0.27239431489716726,25,0.9728368389184545,2569804
Romania,2943,14.935067472453223,69,0.3501595839616964,19705301
Saudi Arabia,80,0.24786459231681113,224,0.6940208584870711,32275687
Singapore,23,0.4101808308943922,136,2.4254170870277103,5607283
El Salvador,228,3.593538062030141,13,0.20489471406312207,6344722
San Marino,15,45.17664066500015,1,3.0117760443333434,33203
Serbia,554,7.849903052280355,26,0.36840700245359065,7057412
Suriname,1,0.17909335778554644,2,0.3581867155710929,558368
Slovenia,60,2.905787117192816,20,0.9685957057309386,2064845
Sweden,2090,21.104455746379777,225,2.272010786093517,9903122
Thailand,2116,3.0727447338804112,240,0.34851547076148337,68863514
Trinidad and Tobago,23,1.6850285942026224,6,0.4395726767485102,1364962
Turkey,1156,1.4538608091268652,255,0.32070459024857323,79512426
Ukraine,18323,40.71357523206771,78,0.17331544332812757,45004645
Uruguay,215,6.242730123002109,21,0.6097550352699734,3444006
United States,9042,2.7982761096545805,14146,4.377838293206558,323127513
Vietnam,6691,7.217821579247711,15,0.016181037765463407,92701100
Samoa,2,1.0249839846252402,1,0.5124919923126201,195125
South Africa,1800,3.219525204097776,225,0.402440650512222,55908865
