Count,Country,Rate,Year
712,Afghanistan,2.4,2008
127,Albania,4.0,2010
516,Algeria,1.5,2008
1,Andorra,1.3,2004
3426,Angola,19.0,2008
1,Anguilla,6.8,2008
6,Antigua and Barbuda,6.8,2010
1360,Argentina,3.4,2009
44,Armenia,1.4,2010
229,Australia,1.0,2010
53,Austria,0.6,2010
206,Azerbaijan,2.2,2010
94,Bahamas,27.4,2010
6,Bahrain,0.6,2008
3988,Bangladesh,2.7,2010
31,Barbados,11.3,2010
473,Belarus,4.9,2009
180,Belgium,1.7,2010
129,Belize,41.4,2010
1262,Benin,15.1,2008
8,Bermuda,12.3,2011
7,Bhutan,1.0,2008
884,Bolivia (Plurinational State of),8.9,2010
56,Bosnia and Herzegovina,1.5,2010
287,Botswana,14.5,2009
40974,Brazil,21.0,2010
2,British Virgin Islands,8.6,2006
2,Brunei Darussalam,0.5,2006
147,Bulgaria,2.0,2010
2786,Burkina Faso,18.0,2008
1726,Burundi,21.7,2008
448,Cambodia,3.4,2005
3700,Cameroon,19.7,2008
554,Canada,1.6,2010
56,Cape Verde,11.6,2007
5,Cayman Islands,8.4,2008
1240,Central African Republic,29.3,2008
1686,Chad,15.8,2008
541,Chile,3.2,2010
13410,China,1.0,2010
15459,Colombia,33.4,2010
85,Comoros,12.2,2008
1180,Congo,30.8,2008
527,Costa Rica,11.3,2010
10801,Cote d'Ivoire,56.9,2008
62,Croatia,1.4,2010
563,Cuba,5.0,2009
19,Cyprus,1.7,2009
181,Czech Republic,1.7,2009
3658,Democratic People's Republic of Korea,15.2,2008
13558,Democratic Republic of the Congo,21.7,2008
47,Denmark,0.9,2009
29,Djibouti,3.4,2008
15,Dominica,22.1,2010
2513,Dominican Republic,25.0,2011
2638,Ecuador,18.2,2010
992,Egypt,1.2,2009
4308,El Salvador,69.2,2011
137,Equatorial Guinea,20.7,2008
879,Eritrea,17.8,2008
70,Estonia,5.2,2010
20239,Ethiopia,25.5,2008
23,Fiji,2.8,2004
118,Finland,2.2,2010
682,France,1.1,2009
30,French Guiana,13.3,2009
1,French Polynesia,0.4,2009
200,Gabon,13.8,2008
176,Gambia,10.8,2008
187,Georgia,4.3,2010
690,Germany,0.8,2010
3646,Ghana,15.7,2008
176,Greece,1.5,2010
11,Greenland,19.2,2009
12,Grenada,11.5,2010
32,Guadeloupe,7.0,2009
1,Guam,0.6,2007
5681,Guatemala,38.5,2011
2152,Guinea,22.5,2008
294,Guinea-Bissau,20.2,2008
140,Guyana,18.6,2010
689,Haiti,6.9,2010
7104,Honduras,91.6,2011
17,Hong Kong Special Administrative Region of China,0.2,2011
133,Hungary,1.3,2010
1,Iceland,0.3,2009
40752,India,3.4,2009
18963,Indonesia,8.1,2008
2215,Iran (Islamic Republic of),3.0,2009
608,Iraq,2.0,2008
54,Ireland,1.2,2010
159,Israel,2.1,2011
529,Italy,0.9,2010
1430,Jamaica,52.2,2010
506,Japan,0.4,2009
100,Jordan,1.8,2006
1418,Kazakhstan,8.8,2010
7733,Kenya,20.1,2008
7,Kiribati,7.3,2008
59,Kuwait,2.2,2009
1072,Kyrgyzstan,20.1,2010
279,Lao People's Democratic Republic,4.6,2008
70,Latvia,3.1,2010
95,Lebanon,2.2,2010
764,Lesotho,35.2,2010
371,Liberia,10.1,2008
176,Libyan Arab Jamahiriya,2.9,2008
1,Liechtenstein,2.8,2009
219,Lithuania,6.6,2010
12,Luxembourg,2.5,2008
4,Macao Special Administrative Region of China,0.7,2010
1588,Madagascar,8.1,2008
5039,Malawi,36.0,2008
604,Malaysia,2.3,2006
5,Maldives,1.6,2008
1157,Mali,8.0,2008
4,Malta,1.0,2010
17,Martinique,4.2,2009
485,Mauritania,14.7,2008
