Country,Homicides,Homicides per Capita,Libraries,Libraries per Capita,Population
Afghanistan,712,2.4,82,0.23661104652719617,34656032
Angola,3426,19.0,19,0.0659413969087992,28813463
Albania,127,4.0,40,1.390771742716963,2876101
Andorra,1,1.3,8,10.35183292141665,77281
United Arab Emirates,39,0.8,20,0.21575876099236946,9269612
Argentina,1360,3.4,1545,3.523581655754967,43847430
Armenia,44,1.4,1034,35.35265124370217,2924816
Antigua and Barbuda,6,6.8,3,2.9713855570852687,100963
Australia,229,1.0,1429,5.922786018859494,24127159
Austria,53,0.6,1473,16.839370241849025,8747358
Azerbaijan,206,2.2,4382,44.88708266127339,9762274
Burundi,1726,21.7,12,0.11402381786519476,10524117
Belgium,180,1.7,641,5.648493293053084,11348159
Benin,1262,15.1,70,0.6438381287930114,10872298
Burkina Faso,2786,18.0,50,0.2681478007080496,18646433
Bangladesh,3988,2.7,68,0.04173019270266575,162951560
Bulgaria,147,2.0,2722,38.18838349218036,7127822
Bahrain,6,0.6,2,0.14033403710852943,1425171
Bosnia and Herzegovina,56,1.5,108,3.0709596407659654,3516816
Belarus,473,4.9,5000,52.59216250557476,9507120
Belize,129,41.4,35,9.537980237304948,366954
Bermuda,8,12.3,2,3.0613338231467453,65331
Brazil,40974,21.0,6545,3.151894870316381,207652865
Barbados,31,11.3,8,2.807056941150051,284996
Brunei Darussalam,2,0.5,9,2.1266741651622416,423196
Bhutan,7,1.0,1,0.12535019711318496,797765
Botswana,287,14.5,82,3.644023357300934,2250260
Canada,554,1.6,3311,9.12462442910813,36286425
Switzerland,52,0.7,2000,23.888874688280048,8372098
Chile,541,3.2,526,2.936947095979096,17909754
China,13410,1.0,51311,3.7217888319497483,1378665000
Cameroon,3700,19.7,29,0.12372441725692812,23439189
Colombia,15459,33.4,1609,3.3070646073197856,48653419
Costa Rica,527,11.3,57,1.173497727326068,4857274
Cuba,563,5.0,407,3.546537455356762,11475982
Cayman Islands,5,8.4,2,3.2913683864066483,60765
Cyprus,19,1.7,142,12.135455613716484,1170125
Czech Republic,181,1.7,5407,51.19473475361244,10561633
Germany,690,0.8,8195,9.913184335571996,82667685
Dominica,15,22.1,5,6.798743592184165,73543
Denmark,47,0.9,97,1.6925144448255993,5731118
Dominican Republic,2513,25.0,398,3.7375134886204453,10648791
Algeria,516,1.5,83,0.20440302839586572,40606052
Ecuador,2638,18.2,3,0.018309353369787663,16385068
Spain,390,0.8,4164,8.965643949517741,46443959
Estonia,70,5.2,487,36.99255819111708,1316481
Ethiopia,20239,25.5,249,0.2431564733585073,102403196
Finland,118,2.2,308,5.6049976196958164,5495096
Fiji,23,2.8,12,1.3351729048911833,898760
France,682,1.1,3410,5.097456415589134,66896109
Gabon,200,13.8,11,0.5556156069393359,1979786
Georgia,187,4.3,2251,60.52214126314092,3719300
Ghana,3646,15.7,257,0.9111301388803408,28206728
Guinea,2152,22.5,42,0.3388210511777904,12395924
Equatorial Guinea,137,20.7,3,0.24560168319020212,1221490
Greece,176,1.5,520,4.838676659154311,10746740
