Country,Libraries,Libraries per Capita,Population,Press Score
Afghanistan,82,0.23661104652719617,34656032,62
Angola,19,0.0659413969087992,28813463,71
Albania,40,1.390771742716963,2876101,51
Andorra,8,10.35183292141665,77281,13
United Arab Emirates,20,0.21575876099236946,9269612,78
Argentina,1545,3.523581655754967,43847430,50
Armenia,1034,35.35265124370217,2924816,63
Antigua and Barbuda,3,2.9713855570852687,100963,35
Australia,1429,5.922786018859494,24127159,23
Austria,1473,16.839370241849025,8747358,23
Azerbaijan,4382,44.88708266127339,9762274,89
Burundi,12,0.11402381786519476,10524117,80
Belgium,641,5.648493293053084,11348159,11
Benin,70,0.6438381287930114,10872298,38
Burkina Faso,50,0.2681478007080496,18646433,41
Bangladesh,68,0.04173019270266575,162951560,61
Bulgaria,2722,38.18838349218036,7127822,40
Bahrain,2,0.14033403710852943,1425171,87
Belarus,5000,52.59216250557476,9507120,91
Belize,35,9.537980237304948,366954,22
Bolivia,400,3.6738091026335518,10887882,49
Brazil,6545,3.151894870316381,207652865,46
Barbados,8,2.807056941150051,284996,18
Bhutan,1,0.12535019711318496,797765,58
Botswana,82,3.644023357300934,2250260,45
Canada,3311,9.12462442910813,36286425,18
Switzerland,2000,23.888874688280048,8372098,13
Chile,526,2.936947095979096,17909754,29
China,51311,3.7217888319497483,1378665000,87
Cameroon,29,0.12372441725692812,23439189,65
Colombia,1609,3.3070646073197856,48653419,56
Costa Rica,57,1.173497727326068,4857274,17
Cuba,407,3.546537455356762,11475982,91
Czech Republic,5407,51.19473475361244,10561633,21
Germany,8195,9.913184335571996,82667685,20
Dominica,5,6.798743592184165,73543,26
Denmark,97,1.6925144448255993,5731118,12
Dominican Republic,398,3.7375134886204453,10648791,42
Algeria,83,0.20440302839586572,40606052,62
Ecuador,3,0.018309353369787663,16385068,66
Spain,4164,8.965643949517741,46443959,28
Estonia,487,36.99255819111708,1316481,16
Ethiopia,249,0.2431564733585073,102403196,83
Finland,308,5.6049976196958164,5495096,11
Fiji,12,1.3351729048911833,898760,48
France,3410,5.097456415589134,66896109,28
Gabon,11,0.5556156069393359,1979786,68
United Kingdom,208,0.31689328065734146,65637239,25
Georgia,2251,60.52214126314092,3719300,49
Ghana,257,0.9111301388803408,28206728,31
Guinea,42,0.3388210511777904,12395924,65
Equatorial Guinea,3,0.24560168319020212,1221490,91
Greece,520,4.838676659154311,10746740,48
Grenada,9,8.386369354342742,107317,24
Guatemala,70,0.42213255456711546,16582469,58
Guyana,27,3.4915162620602787,773303,36
Honduras,116,1.2729254141424426,9112867,67
Croatia,319,7.648779552102815,4170600,42
Haiti,30,0.27656565198416494,10847334,52
Hungary,1465,14.921636454342135,9817958,40
Indonesia,1062,0.40671663649048795,261115456,49
