Country,2001 Legal Score,2001 Political Score,2001 Economic Score,2001 Score,2001 Status,2002 Legal Score,2002 Political Score,2002 Economic Score,2002 Score,2002 Status,2003 Legal Score,2003 Political Score,2003 Economic Score,2003 Score,2003 Status,2004 Legal Score,2004 Political Score,2004 Economic Score,2004 Score,2004 Status,2005 Legal Score,2005 Political Score,2005 Economic Score,2005 Score,2005 Status,2006 Legal Score,2006 Political Score,2006 Economic Score,2006 Score,2006 Status,2007 Legal Score,2007 Political Score,2007 Economic Score,2007 Score,2007 Status,2008 Legal Score,2008 Political Score,2008 Economic Score,2008 Score,2008 Status,2009 Legal Score,2009 Political Score,2009 Economic Score,2009 Score,2009 Status,2010 Legal Score,2010 Political Score,2010 Economic Score,2010 Score,2010 Status,2011 Legal Score,2011 Political Score,2011 Economic Score,2011 Score,2011 Status,2012 Legal Score,2012 Political Score,2012 Economic Score,2012 Score,2012 Status,2013 Legal Score,2013 Political Score,2013 Economic Score,2013 Score,2013 Status,2014 Legal Score,2014 Political Score,2014 Economic Score,2014 Score,2014 Status,2015 Legal Score,2015 Political Score,2015 Economic Score,2015 Score,2015 Status
Afghanistan,,,,,,24,30,20,74,NF,24,28,20,72,NF,21,27,20,68,NF,21,28,20,69,NF,21,28,20,69,NF,21,30,20,71,NF,22,32,20,74,NF,22,33,21,76,NF,22,33,20,75,NF,22,32,20,74,NF,20,28,19,67,NF,20,27,19,66,NF,20,28,19,67,NF,18,26,18,62,NF
Albania,24,12,12,48,PF,20,18,12,50,PF,17,18,14,49,PF,18,17,16,51,PF,17,17,16,50,PF,17,16,17,50,PF,16,16,18,50,PF,16,16,18,50,PF,16,16,18,50,PF,16,17,17,50,PF,16,18,17,51,PF,15,17,17,49,PF,15,17,17,49,PF,15,17,17,49,PF,15,18,18,51,PF
Algeria,21,26,15,62,NF,21,24,17,62,NF,23,22,18,63,NF,23,23,18,64,NF,22,22,17,61,NF,22,23,17,62,NF,22,23,17,62,NF,22,23,17,62,NF,22,25,17,64,NF,22,23,17,62,NF,22,23,17,62,NF,21,23,17,61,NF,20,22,17,59,PF,21,23,17,61,NF,22,23,17,62,NF
Andorra,,,,,,1,1,6,8,F,1,4,8,13,F,1,5,8,14,F,1,5,8,14,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F
Angola,21,33,25,79,NF,20,30,22,72,NF,18,27,21,66,NF,19,26,21,66,NF,19,25,21,65,NF,17,24,21,62,NF,19,23,21,63,NF,18,22,21,61,NF,18,23,21,62,NF,18,25,21,64,NF,19,27,21,67,NF,19,28,21,68,NF,19,29,21,69,NF,19,30,21,70,NF,20,30,21,71,NF
Antigua and Barbuda,12,16,16,44,PF,12,16,17,45,PF,12,16,15,43,PF,12,14,14,40,PF,10,14,14,38,PF,10,14,14,38,PF,10,16,13,39,PF,10,15,13,38,PF,10,15,13,38,PF,9,16,13,38,PF,9,16,13,38,PF,9,16,13,38,PF,9,17,13,39,PF,9,16,13,38,PF,8,16,11,35,PF
Argentina,10,21,6,37,PF,11,16,12,39,PF,8,14,13,35,PF,10,16,15,41,PF,12,17,16,45,PF,13,20,16,49,PF,11,21,15,47,PF,13,21,15,49,PF,13,21,15,49,PF,12,23,16,51,PF,12,22,16,50,PF,13,23,16,52,PF,14,21,16,51,PF,15,20,16,51,PF,14,20,16,50,PF
Armenia,21,26,13,60,PF,23,26,16,65,NF,20,26,18,64,NF,20,26,18,64,NF,20,26,18,64,NF,20,24,20,64,NF,21,25,20,66,NF,21,27,20,68,NF,21,25,20,66,NF,20,25,20,65,NF,21,24,20,65,NF,19,22,20,61,NF,19,23,20,62,NF,19,22,20,61,NF,20,23,20,63,NF
Australia,0,3,7,10,F,3,5,6,14,F,3,4,7,14,F,4,7,7,18,F,5,8,6,19,F,6,9,6,21,F,6,8,7,21,F,6,9,7,22,F,6,9,7,22,F,5,9,7,21,F,4,10,7,21,F,4,10,7,21,F,5,10,7,22,F,5,10,7,22,F,6,10,7,23,F
Austria,10,6,8,24,F,11,6,6,23,F,9,8,6,23,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,6,22,F,8,9,6,23,F
