Libraries,Libraries per HundredK,Population,Region,State,Users,Users per HundredK
103,13.963734960176241,737625,West,AK,350471,47513.43840027114
312,6.4546533706324025,4833722,South,AL,2680887,55462.16766293138
235,8.059211541613996,2915918,South,AR,1628139,55836.24093681647
2,3.2860687116967613,60863,,AS,13633,22399.487373280976
232,3.4328408341152175,6758251,West,AZ,3165690,46841.8530178888
1166,3.011773943893441,38714725,West,CA,21917146,56611.91187590768
272,5.106762310817456,5326271,West,CO,3713871,69727.41341925711
243,6.756236381526615,3596677,Northeast,CT,1591510,44249.45581713343
26,3.867735351696151,672228,South,DC,314186,46738.01150800026
34,3.636196410218567,935043,South,DE,374338,40034.308582599944
558,2.7660790863650693,20172959,South,FL,10759953,53338.49635048582
411,4.009712284119432,10250112,South,GA,4366940,42603.827158181295
6,3.765107493818949,159358,,GU,61532,38612.43238494459
52,3.6631042977371178,1419561,West,HI,958223,67501.3613363568
570,18.24642858171791,3123899,Midwest,IA,2064047,66072.782762823
155,9.365955055500837,1654930,West,ID,902975,54562.73074994108
798,6.205290126473611,12859995,Midwest,IL,5693590,44273.656404998605
453,6.986641479798427,6483802,Midwest,IN,3563110,54954.022346765065
381,13.119739836592089,2904021,Midwest,KS,1716413,59104.70344394892
280,6.370448399936751,4395295,South,KY,2595290,59047.00367097089
367,7.857454219088946,4670724,South,LA,2503850,53607.32083505684
468,7.013652644356857,6672700,Northeast,MA,3343980,50114.34651640265
204,3.4666975270721037,5884563,South,MD,3720843,63230.57464080171
269,20.235788308077463,1329328,Northeast,ME,750006,56419.93548620054
650,6.566855182557059,9898193,Midwest,MI,5205215,52587.52784472883
363,6.596781969813634,5502683,Midwest,MN,3871271,70352.42626187988
387,6.38235869878384,6063589,Midwest,MO,3321761,54782.09357527365
238,7.949022053192317,2994079,South,MS,1703933,56910.08821076531
118,11.93688020531434,988533,West,MT,461085,46643.359402265785
406,4.0788905658777495,9953687,South,NC,5128357,51522.18469397319
92,12.154408549305284,756927,Midwest,ND,270955,35796.71487475014
286,15.082876715940913,1896190,Midwest,NE,1067312,56287.18641064451
232,17.532470967512786,1323259,Northeast,NH,801643,60580.959585387296
450,5.118351062922279,8791894,Northeast,NJ,4346154,49433.64876783091
125,6.070380476879378,2059179,West,NM,1060109,51482.119815712955
88,3.0949941634740745,2843301,West,NV,1298837,45680.601526183826
1071,5.526857067838739,19378102,Northeast,NY,11133885,57456.014010040824
763,6.629046465966709,11509951,Midwest,OH,8753243,76049.35068793951
218,5.573540307690105,3911338,South,OK,2053684,52505.91996907452
231,5.7550802285589,4013845,West,OR,2211133,55087.65286153302
643,5.062043889573756,12702379,Northeast,PA,5435074,42787.84312765349
71,6.711707581299104,1057853,Northeast,RI,460694,43549.90721773252
223,4.793266213276703,4652360,South,SC,2498300,53699.62771582595
147,17.12350708062842,858469,Midwest,SD,362195,42190.807122913
287,4.38211291743061,6549352,South,TN,3301476,50409.2007881085
885,3.283011384296403,26956958,South,TX,13305951,49359.98713207922
142,4.82516916975149,2942902,West,UT,1802019,61232.72198666486
379,4.521058290278901,8382993,South,VA,4779817,57018.024469303506
190,30.32092303273064,626630,Northeast,VT,337364,53837.83093691652
371,5.253908213798661,7061410,West,WA,3958496,56058.152691884476
465,8.082284258630315,5753324,Midwest,WI,3426989,59565.37472946074
181,9.767975503428506,1852994,South,WV,943200,50901.406048805344
77,13.18147814014479,584153,West,WY,397997,68132.32149796373
