STATE,SERVICE AREA POPULATION,UNDUPLICATED POPULATION,STATE POPULATION,CENTRAL LIBRARIES,BRANCH LIBRARIES,BOOKMOBILES,MLS LIBRARIAN STAFF,LIBRARIAN STAFF,OTHER STAFF,TOTAL STAFF,LOCAL REVENUE,STATE REVENUE,FEDERAL REVENUE,OTHER REVENUE,TOTAL REVENUE,SALARIES,BENEFITS,TOTAL STAFF EXPENDITURES,PRINT EXPENDITURES,ELECTRONIC EXPENDITURES,OTHER COLLECTION EXPENDITURES,TOTAL COLLECTION EXPENDITURES,OTHER EXPENDITURES,TOTAL EXPENDITURES,LOCAL CAPITAL REVENUE,STATE CAPITAL REVENUE,FEDERAL CAPITAL REVENUE,OTHER CAPITAL REVENUE,TOTAL CAPITAL REVENUE,CAPITAL EXPENDITURES,PRINT MATERIALS,EBOOKS,AUDIO MATERIALS,AUDIO DOWNLOADS,VIDEO MATERIALS,VIDEO DOWNLOADS,LOCAL DATABASES,STATE DATABASES,TOTAL DATABASES,PRINT SERIALS,HOURS,VISITS,REFERENCES,USERS,TOTAL CIRCULATION,KIDS CIRCULATION,ELECTRONIC CIRCULATION,LOANS TO,LOANS FROM,TOTAL PROGRAMS,KIDS PROGRAMS,YA PROGRAMS,PROGRAM AUDIENCE,KIDS PROGRAM AUDIENCE,YA PROGRAM AUDIENCE,COMPUTERS,COMPUTER USES,WIFI SESSIONS,START DATE,END DATE,YEAR,BEA REGION
AK,654479,647583,737625,86,16,1,58.86,118.31,193.09,311.4,$32645536.00,$1096129.00,$954653.00,$1288407.00,$35984725.00,$14326886.00,$9750253.00,$24077139.00,$1857977.00,$499120.00,$73822.00,$2430919.00,$9525471.00,$36033529.00,$560252.00,$5631270.00,$2375937.00,$683610.00,$9251069.00,$29314961.00,2395272,502695,129476,497193,282054,399,479,4116,4105,4893,151998,3120386,446578,350471,4490479,1416999,322503,28781,34252,12987,8246,1810,254172,177102,21401,1069,749206,730747,14-Jan,15-Jun,2016,8
AL,4833722,4833722,4833722,222,74,16,328.08,730.76,988.72,1719.48,$89633662.00,$3832508.00,$955225.00,$10057802.00,$104479197.00,$55101208.00,$14819063.00,$69920271.00,$6225330.00,$1779266.00,$2385346.00,$10389942.00,$22118438.00,$102428651.00,$6152118.00,$0.00,$432168.00,$139973.00,$6724259.00,$2526421.00,9330807,3414634,430265,797644,629212,13874,1059,12794,13853,8950,628745,16529493,4437265,2680887,20474201,6587107,2259776,413267,400380,44526,22555,4849,1121601,723637,93665,5556,4277108,3703127,14-Oct,15-Sep,2016,5
AR,2833849,2643928,2915918,54,179,2,145.11,282.61,723.28,1005.89,$65801870.00,$5207194.00,$1560.00,$3989079.00,$74999703.00,$34300378.00,$10656365.00,$44956743.00,$5390795.00,$2105833.00,$1913018.00,$9409646.00,$18233470.00,$72599859.00,$7575103.00,$258941.00,$33000.00,$307262.00,$8174306.00,$6495203.00,6371116,591038,242426,126741,459248,6660,545,2964,3405,9481,436533,10383499,2219676,1628139,14171533,3416231,1483141,28123,26365,38333,24122,5312,1050483,738691,103945,2718,1858903,1150709,15-Jan,15-Dec,2016,5
AS,60863,60324,60863,1,1,0,1,7,3,10,$0.00,$314583.00,$136365.00,$15577.00,$466525.00,$210333.00,$20909.00,$231242.00,$17224.00,$61069.00,$16820.00,$95113.00,$118675.00,$445030.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,41938,1217,895,0,290,0,0,33,33,2,3523,63563,2469,13633,22280,9182,61,0,0,384,354,1,6846,6684,12,20,7118,2420,14-Oct,15-Sep,2016,9
AZ,10652448,6758251,6758251,85,136,11,473.98,560.61,1492.25,2052.86,$168773387.00,$1673773.00,$1972972.00,$7566565.00,$179986697.00,$77714692.00,$28918074.00,$106632766.00,$15183607.00,$5955954.00,$5363157.00,$26474718.00,$44190784.00,$177298184.00,$7388945.00,$0.00,$199905.00,$151400.00,$7740250.00,$6491489.00,8195813,1698298,632268,704063,1047713,31526,595,2970,2938,15136,490277,26425068,5753809,3165690,44207794,14235038,4366325,359332,397185,72501,39135,6862,1526227,1064657,100069,7630,7150328,5340816,14-Jul,15-Jun,2016,6
CA,38697702,38697702,38714725,166,949,51,3080.26,3268.83,8510.39,11779.22,$1332476430.00,$12946522.00,$4947740.00,$67063059.00,$1417433751.00,$579004338.00,$294834779.00,$873839117.00,$72737141.00,$30183949.00,$19910990.00,$122832080.00,$351180550.00,$1347851747.00,$69958065.00,$3094289.00,$361799.00,$7376383.00,$80790536.00,$113838920.00,63675919,5598601,3469511,2644054,5277598,399231,4104,101,4183,92425,2343022,162526811,22020776,21917146,217860542,90787494,15105563,3699830,3374830,362131,215539,37032,9428715,7051832,553731,22251,32275277,15496024,14-Jul,15-Jun,2016,8
CO,5326282,5265461,5326271,97,162,13,727.77,980.16,2343.44,3323.6,$277258943.00,$1535517.00,$914952.00,$19949948.00,$299659360.00,$135077356.00,$38611609.00,$173688965.00,$16866570.00,$10141007.00,$9786925.00,$36794502.00,$64075379.00,$274558846.00,$3678089.00,$206708.00,$6000.00,$24847554.00,$28738351.00,$38762181.00,9951997,1707614,850384,2244957,1308671,117532,2167,57,2224,24205,622701,32347301,4064644,3713871,63028658,21457437,5946413,1007518,960202,113371,71321,9399,2656302,1894546,165387,6481,7145190,3400966,15-Jan,15-Dec,2016,7
CT,4375652,3596677,3596677,192,47,4,756.09,1086.99,1203.37,2290.36,$171771407.00,$1499224.00,$186586.00,$25416247.00,$198873464.00,$118125271.00,$35036981.00,$153162252.00,$12366221.00,$3897898.00,$3339625.00,$19603744.00,$35508617.00,$208274613.00,$11311217.00,$814595.00,$0.00,$3273802.00,$15399614.00,$6989779.00,14309277,1549066,830151,1061896,1192946,17351,1498,7200,8698,21064,556702,21869154,3421851,1591510,29651952,10530150,1320885,1268196,1198567,102104,56402,7500,2081898,1268778,110945,4442,4356831,668961,14-Jul,15-Jun,2016,1
DC,672228,672228,672228,1,25,0,163,163,379.6,542.6,$56205562.00,$0.00,$934331.00,$386261.00,$57526154.00,$33762721.00,$7643254.00,$41405975.00,$2575923.00,$1517247.00,$668275.00,$4761445.00,$11254067.00,$57421487.00,$36449805.00,$0.00,$0.00,$0.00,$36449805.00,$13251834.00,1862550,244210,30262,21187,153017,903,133,0,133,2702,83044,4189520,836655,314186,4014192,1348751,1000490,0,188,15000,9054,1313,327719,258051,14039,1000,1124852,343481,14-Oct,15-Sep,2016,2
DE,935043,935043,935043,19,13,2,63.22,122.71,201.96,324.67,$20833047.00,$3947059.00,$22107.00,$1668653.00,$26470866.00,$13027089.00,$4591195.00,$17618284.00,$1678238.00,$168281.00,$529652.00,$2376171.00,$5600846.00,$25595301.00,$6702366.00,$1163441.00,$0.00,$1875243.00,$9741050.00,$5472826.00,1646103,544719,116899,84021,176381,17640,31,126,157,4056,86330,4115052,444722,374338,6114264,2005684,396969,820024,822179,15003,6728,1267,257997,114009,18058,1076,650846,183327,14-Jul,15-Jun,2016,2
