Rank,Country,Restaurants
1,United States,14146
2,Japan,2975
3,China,2391
4,Germany,1470
5,Canada,1450
6,France,1419
7,United Kingdom,1274
8,Australia,920
9,Brazil,812
10,Russia,609
11,Italy,548
12,Philippines,449
13,South Korea,430
14,Taiwan,413
15,Mexico,402
16,Poland,378
17,Malaysia,314
18,Spain,297
19,India,290
20,Turkey,255
21,Netherlands,245
22,Thailand,240
23,Hong Kong,237
24,Sweden,225
25,South Africa,225
26,Saudi Arabia,224
27,Argentina,209
28,Austria,196
29,Israel,185
30,Indonesia,170
31,New Zealand,162
32,Switzerland,162
33,Portugal,148
34,Venezuela,140
35,Singapore,136
36,United Arab Emirates,114
37,Puerto Rico,108
38,Czech Republic,95
39,Hungary,90
40,Ireland,89
41,Denmark,89
42,Guatemala,82
43,Colombia,81
44,Ukraine,78
45,Chile,77
46,Kuwait,75
47,Belgium,74
48,Egypt,74
49,Norway,73
50,Pakistan,72
51,Romania,69
52,Finland,65
53,Panama,57
54,Costa Rica,54
55,Bulgaria,42
56,Morocco,40
57,Peru,40
58,Lebanon,33
59,Dominican Republic,31
60,Slovakia,30
61,Croatia,29
62,Jordan,28
63,Macau,27
64,Ecuador,27
65,Serbia,26
66,Qatar,25
67,Greece,24
68,Uruguay,21
69,Slovenia,20
70,Bahrain,20
71,Cyprus,18
72,Oman,15
73,Vietnam,15
74,El Salvador,13
75,Latvia,12
76,Azerbaijan,12
77,Lithuania,11
78,Paraguay,11
79,Georgia,11
80,Luxembourg,10
81,Estonia,10
82,Malta,10
83,Martinique,9
84,Belarus,9
85,Guadeloupe,8
86,Honduras,8
87,Sri Lanka,7
88,Mauritius,7
89,U.S. Virgin Islands,6
90,Guam,6
91,French Polynesia,6
92,Trinidad and Tobago,6
93,Nicaragua,6
94,Curacao,5
95,Andorra,5
96,Aruba,4
97,Moldova,4
98,Bosnia and Herzegovina,4
99,Bahamas,3
100,Sint Maarten,3
101,Fiji,3
102,Liechtenstein,3
103,Monaco,2
104,Brunei,2
105,Northern Marianas,2
106,New Caledonia,2
107,Suriname,2
108,French Guiana,2
109,American Samoa,2
110,Kazakhstan,2
111,Cuba,1
112,Samoa,1
113,Jersey,1
114,Isle of Man,1
115,San Marino,1
116,Gibraltar,1
117,Iraq,1
118,Kyrgyzstan,1
